origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
Canada,CA,Japan,JP,air,box,live animal,10619,10,300,yes,Veterinary certification; quarantine inspection; import permit,no,,"Secure, ventilated crates; continuous monitoring; priority air freight"
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; Lithium batteries subject to UN 3480/3481 classifications and State/TSA regulations,no,,UN-certified packaging required; include DG label and battery safety sheet
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,15000,yes,Export controls; ICT equipment may require end-user certificate,no,,"CMR shipping, moisture control, tamper-evident seals"
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,23,250,yes,"Pharmacy licenses, controlled substance checks, cold-chain verification",no,,Cold-chain compliant packaging; temperature data logger
United Kingdom,GB,Canada,CA,courier,envelope,cosmetics,330499,2,60,no,,no,,Tamper-evident seal; fragrance-free labeling if border control requires
Australia,AU,New Zealand,NZ,road,box,fresh fruit/vegetables,80810,30,8000,yes, phytosanitary certificate; pest risk assessment; import permit,no,,Cold-chain and vented packaging; breathable produce packaging
United Arab Emirates,AE,Saudi Arabia,SA,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,HazMat compliance; SDS; quantity limits per consignment,no,,Hazmat placards; corrosion-resistant packaging
Germany,DE,France,FR,rail,box,toys (small),950300,32,15000,no,,no,,Secure packaging; child-safe small parts
Japan,JP,South Korea,KR,air,box,electronics (consumer),851712,23,250,yes,IATA DG compliance for battery-containing devices; spare parts restricted,no,, Battery safety packaging; shock-absorbent inner lining
United States,US,Mexico,MX,multimodal,box,live animal,10619,50,12000,yes,Veterinary health certificate; quarantine rules; import permit,yes,Wildlife protection laws; endangered species restrictions,Secure containment; proper ventilation; migration-safe transport
India,IN,Spain,ES,sea,crate,plant/seed,120991,2000,18000,yes,Phytosanitary certificate; seed import permit; pest free certificate,no,,Pest-free packaging; double-sealed moisture barrier
Netherlands,NL,Italy,IT,rail,box,pharmaceutical (prescription),300490,32,18000,yes,End-user verification; cold-chain; clinical supply paperwork,no,,Temperature-controlled packaging; data logger; sterile packaging where required
France,FR,United Kingdom,GB,air,envelope,fresh fruit/vegetables,80810,2,120,yes,Phytosanitary certificate; border health inspection,no,,Ventilated envelope; cold-chain and rapid transit
South Korea,KR,Canada,CA,courier,envelope,cosmetics,330499,2,50,no,,no,,Tamper-evident seal; ingredient listing in bilingual labels
Singapore,SG,United States,US,multimodal,box,electronic (consumer),851712,23,400,yes,End-user certification; dual-use tech controls,no,,Shock-absorbent packaging; ESD shielding; tracking
Italy,IT,Spain,ES,road,box,used clothing,630900,25,12000,no,,no,,Original factory packaging where possible; tamper-evident seals
Spain,ES,Netherlands,NL,rail,crate,live animal,10619,100,2200,yes,Veterinary inspection; import permit; quarantine,no,,Secure containment; climate-controlled crate; biosecure handling
Canada,CA,Japan,JP,air,box,pharmaceutical (prescription),300490,23,260,yes,Health authority approval; cold-chain logistics; import license,no,,Cold-chain packaging; temperature data log; sterile packaging
Mexico,MX,Australia,AU,sea,crate,chemical (industrial solvent),382200,5000,25000,yes,HazMat; SDS; air/water shipping restrictions,no,,Hazmat labeling; corrosion-resistant crates; ventilation
Saudi Arabia,SA,United Kingdom,GB,multimodal,box,counterfeit goods,0,15,1000,yes,Counterfeit goods prohibition; customs seizures; brand protection,yes,Illicit goods; strict penalties; seizure risk,Provenance documentation required; anti-tamper seals
Indonesia,ID,Singapore,SG,air,envelope,fresh fruit/vegetables,80810,2,100,yes,Phytosanitary certificate; import permit; border inspection,no,,"Ventilated, breathable packaging; rapid transit"
United States,US,Spain,ES,sea,box,cosmetics,330499,23,12000,yes,EU cosmetics pre-market notification; labeling compliance,no,,Tamper-evident seal; batch numbers; safety data sheets
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; batteries subject to shipper and carrier approval; spare batteries prohibited in certain cabin classes,no,,"UN-certified packaging, 2-8°C temperature control for certain cells, tamper-evident seals"
China,CN,Germany,DE,air,box,pharmaceutical (prescription),300490,1.5,120,yes,Pharmacovigilance compliance; import license and clinical-trial documentation may be required,no,,"Pharmaceutical-grade packaging, temperature control if applicable, need chemical stability certificates"
Brazil,BR,Japan,JP,sea,pallet,fresh fruit/vegetables,80810,1000,22000,no,,no,,"Ventilated pallet loads, humidity control, perishable handling notes"
Netherlands,NL,United Kingdom,GB,rail,crate,live animal,10619,5000,18000,yes,Veterinary certificate; import permit; animal health checks,yes,Biosecurity risk; certain species restricted,"Secure crates, tamper-evident seals, veterinary paperwork"
Canada,CA,Mexico,MX,road,box,cosmetics,330499,25,15000,no,,no,,"Tamper-evident seal, cosmetic safety data sheets"
United Kingdom,GB,France,FR,multimodal,case,electronics (consumer),851712,32,22000,no,,no,,"Temperature control where required, secure internal cushioning, proper labeling"
Japan,JP,South Korea,KR,sea,pallet,toys,950300,1000,20000,no,,no,,Secure packaging; choking hazard warnings for certain items
Australia,AU,Singapore,SG,air,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA DG declaration; export/import licenses may be needed; cold chain if required,no,,"Thermally insulated envelope, cold-chain validation if needed"
United Arab Emirates,AE,Saudi Arabia,SA,courier,box,chemical (industrial solvent),382200,23,600,yes,Hazmat classification; DG declaration; quantity limits; proper labeling,no,,"Hazmat compliant outer packaging, venting, secondary containment"
India,IN,Indonesia,ID,road,case,electronicss (consumer),851712,40,12000,no,,no,,"Secure anti-static packaging, cushioning, explicit origin labeling"
Germany,DE,France,FR,rail,crate,lithium-ion battery,850760,5,19000,yes,IATA/UN tests; DG documentation; state-level permits for batteries,no,,"UN-certified packaging, battery terminals insulated"
South Korea,KR,Canada,CA,sea,pallet,live animal,10619,4000,26000,yes,Veterinary certificate; quarantine requirements may apply,yes,Wildlife protection laws may prohibit certain species,"Animal-safe containers, escape prevention, clear health documents"
Spain,ES,Italy,IT,air,box,pharmaceutical (prescription),300490,1.5,120,yes,Pharmacovigilance compliance; import license,no,,"Pharma-grade packaging, temperature control if needed"
France,FR,Netherlands,NL,courier,envelope,cosmetics,330499,1,80,no,,no,,"Tamper-evident seal, cosmetic label compliance"
Italy,IT,Spain,ES,road,case,fresh fruit/vegetables,80810,120,10000,no,,no,,Ventilated packaging; temperature monitoring for perishables
South Africa,ZA,United Kingdom,GB,rail,crate,chemical (industrial solvent),382200,1000,18000,yes,Hazmat handling; cross-border permits; air-dreated residues,no,,"Hazmat-certified crates, spill containment, labeling"
Mexico,MX,Spain,ES,multimodal,pallet,alcoholic beverages,220830,1000,26000,no,,no,,Temperature controlled containers; lot traceability; tamper-evident seals
Indonesia,ID,United States,US,air,box,counterfeit goods,0,2,100,yes,Counterfeit goods prohibited; enforcement risk; customs seizure,yes,Prohibited item; dangerous to security,Not allowed to be shipped; N/A
United States,US,Japan,JP,sea,pallet,pharmaceutical (prescription),300490,1000,25000,yes,Pharmaceutical import licenses; health authority clearance; cold chain if required,no,,"GMP-compliant packaging, validated cold chain, secure pallets"
China,CN,Saudi Arabia,SA,rail,box,electronicss (consumer),851712,32,18000,no,,no,,"ESD-safe packaging, anti-static bags, proper labeling"
United Kingdom,GB,India,IN,courier,envelope,cosmetics,330499,1,60,no,,no,,"Tamper-evident seal, cosmetic compliance labeling"
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; lithium batteries limited to specific watt-hour and packaging; ban on damaged cells,no,,UN-certified packaging; 2-8C temperature if applicable; tamper-evident seals; marked as lithium battery with UN 3480/3481
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,20000,no,,no,,Sea transport compliant packaging; ESD protection for electronics; proper palletization
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,500,yes,Pharmacist prescription required; controlled substance controls; health authority clearance,no,,Tamper-evident seal; Temperature controlled if necessary; proper labeling of prescription drug
Germany,DE,Canada,CA,courier,box,cosmetics,330499,23,400,no,,no,,Original manufacturer packaging; cosmetic product labeling per destination rules
United States,US,United Kingdom,GB,air,box,fresh fruit/vegetables,80810,23,350,yes,Phytosanitary certificate; ensure pest-free inspection; cold chain if required,no,,Temperature control as needed; proper venting and packing to prevent spoilage
Japan,JP,Australia,AU,sea,crate,live animal,10619,5000,25000,yes,Veterinary certificate; import permit; quarantine on arrival,yes,Biosecurity risk; strict animal welfare rules,Secure containment; double-bagging; watch for temperature control where needed
India,IN,Saudi Arabia,SA,road,box,chemical (industrial solvent),382200,32,15000,yes,Hazardous materials declaration; RID/ADR compliance if crossing borders; MSDS,no,,Hazmat labeling; UN packaging; leak-proof containment
South Korea,KR,Netherlands,NL,rail,box,electronics (consumer),851712,32,18000,no,,no,,ESD-safe packing; clear labeling of HS code
United Kingdom,GB,Singapore,SG,multimodal,pallet,toy (small),950300,1000,25000,no,,no,,Tamper-evident seals; child-safety packaging; alarms for theft deterrence
Italy,IT,France,FR,courier,envelope,pharmaceutical (prescription),300490,2,600,yes,IATA DG declaration for hazardous materials; health authority clearance,no,,Sealed sterile packaging; appropriate labeling
Spain,ES,United States,US,air,box,cosmetics,330499,23,350,no,,no,,Original packaging; batch/lot numbers; temperature controlled if fragrance
Netherlands,NL,Canada,CA,courier,box,fresh fruit/vegetables,80810,23,420,yes,Phytosanitary certificates; customs clearance; origin restrictions,no,,Ventilated packaging; temperature control as needed
Australia,AU,New Zealand,NZ,road,case,pharmaceutical (prescription),300490,32,9000,yes,Pharmacy license; import permit; cross-border medicine rules,no,,Tamper-evident seals; controlled substance handling
Canada,CA,Mexico,MX,road,box,live animal,10619,50,15000,yes,Veterinary certificate; import permit; quarantine,yes,Biosecurity risk; animal welfare concerns,Secure containment; temperature control if needed
 United States,US,Spain,ES,sea,crate,chemical (industrial solvent),382200,5000,28000,yes,Hazmat declaration; cross-border chemical regulations; ADR/RID where applicable,no,,Leak-proof; secondary containment; hazmat labeling
China,CN,South Africa,ZA,sea,crate,lithium-ion battery,850760,5,18000,yes,IATA/ICAO lithium battery air transport restrictions; specialized handling,no,,UN-approved packaging; electrolyte containment; thermal protection
United States,US,India,IN,multimodal,box,electronic consumer,851712,23,22000,no,,no,,ESD protection; traceability labeling; packaging per destination rules
Japan,JP,Germany,DE,rail,box,cosmetics,330499,32,18000,no,,no,,Original packaging; batch/lot numbers; temperature control if needed
India,IN,Spain,ES,air,envelope,pharmaceutical (prescription),300490,2,250,yes,Pharmacovigilance requirements; prescription validation; health authority approval,no,,Tamper-evident seals; secure labeling
South Africa,ZA,France,FR,courier,box,used clothing,630900,23,600,no,,no,,Proper packaging to prevent odor; labeling with origin
Singapore,SG,United Kingdom,GB,air,envelope,pharmaceutical (prescription),300490,2,300,yes,IATA DG declaration; health authority clearance; prescription validation,no,,Tamper-evident seals; packaging per regulatory requirements
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,"IATA lithium battery restrictions apply; must be UN3480/UN3481 compliant, battery powered devices may require special handling",no,,"UN-certified packaging required; lithium battery in equipment may require 1-pc per package, State of charge 30% max"
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,20000,no,,no,,Sea freight requires robust outer crate; ensure anti-corrosion packaging; temperature considerations negligible
Brazil,BR,Spain,ES,air,box,pharmaceutical (prescription),300490,23,120,yes,Pharmaceuticals require import license and health authority clearance in many EU states; temperature control may be needed,no,,Temperature-controlled 2-8°C if applicable; tamper-evident seals; pharma-grade packaging
United States,US,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,200,yes,IATA DG declaration also required; controlled substances need export/import permits,no,,Hazardous material classification not applicable; ensure Rx labeling in English and local language
Germany,DE,Canada,CA,courier,envelope,cosmetics,330499,2,50,no,,no,,Tamper-evident seals; cosmetic product must comply with INCI labeling; air courier restrictions on liquids
Australia,AU,New Zealand,NZ,road,box,fresh fruit/vegetables,80810,25,800,yes,Phytosanitary certificates often required; phytosanitary inspection on arrival; cold chain may be needed,no,,Temperature controlled packaging; ventilated packaging for airflow; avoid bruising
Japan,JP,South Korea,KR,rail,crate,live animal,10619,500,15000,yes,Animal health certificate; vaccination records; import permit required,yes,Restrictions on certain livestock species; biosecurity risk; some species prohibited,Secure transport crates; segregation by species; humidity and ventilation controls
France,FR,Italy,IT,multimodal,crate,live animal,10619,700,18000,yes,Veterinary certificate; quarantine requirements may apply; export/import permits,no,,Certified veterinary transport equipment; chain-of-custody documentation
Canada,CA,Mexico,MX,road,box,chemical (industrial solvent),382200,30,12000,yes,Hazardous materials classification; DG declaration; special permits,no,,UN-rated packaging; secondary containment; proper labeling of hazmat; temperature control if volatile
India,IN,United Kingdom,GB,air,box,electronic s (consumer),851712,23,250,no,,no,,Original packaging preferred; ESD-safe handling; battery shipping guidelines followed
China,CN,Singapore,SG,courier,envelope,cosmetics,330499,2,60,no,,no,,Compliance with local cosmetic labeling; avoid prohibited ingredients
Italy,IT,France,FR,sea,pallet,alcoholic beverages,220830,1000,28000,yes,Excise and import duties; sometimes require health certificate; some volumes restricted,no,,Temperature controlled; secure capping and tamper evident seals; proper packaging for liquids
South Africa,ZA,United Kingdom,GB,rail,pallet,pharmaceutical (prescription),300490,1000,24000,yes,GMP compliance; import license; cold chain requirements,no,,Cold chain validated; data loggers; tamper-evident seals
Netherlands,NL,Spain,ES,air,box,toys,950300,23,180,no,,no,,Child-safety compliant packaging; choking hazard labels if applicable; ensure no small parts detached
Mexico,MX,United States,US,courier,envelope,cosmetics,330499,2,40,no,,no,,Tamper-evident seals; labeling per US/EU cosmetic regs
Indonesia,ID,Saudi Arabia,SA,air,box,electronics (consumer),851712,23,180,yes,IATA DG declarations for certain electronics; import clearance,no,,ESD-safe packaging; battery-insulated connectors; battery life within allowed range
United Kingdom,GB,United Arab Emirates,AE,air,box,pharmaceutical (prescription),300490,23,300,yes,Pharmaceuticals require license; customs clearance; potential quarantine on some APIs,no,,Pharmaceutical compliant packaging; cold chain as needed; proper labeling
Spain,ES,Netherlands,NL,multimodal,box,fresh fruit/vegetables,80810,25,1500,no,,no,,Ventilated packaging; temperature-controlled compartments where possible; avoid puncture
South Korea,KR,United States,US,sea,crate,live animal,10619,600,23000,yes,Animal health certificate; quarantine; import permit; tailing records,yes,Certain endemic species restricted; high biosecurity risk,Secure crates; traceability; isolation compartments
Singapore,SG,France,FR,air,box,chemical (industrial solvent),382200,20,260,yes,Hazardous goods DG; need DG declaration; permit for cross-border movement,no,,Hazmat labelling; secondary containment; temperature control if volatile
United Arab Emirates,AE,Brazil,BR,road,box,used clothing,630900,25,9000,no,,no,,Protect from moisture; avoid contamination; stackable boxes
Netherlands,NL,Canada,CA,rail,pallet,cosmetics,330499,1000,21000,no,,no,,Secure palletization; no leaks; compliant labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,5,400,yes,IATA DG declaration for lithium batteries; battery shipping limits apply; quantity limits per shipment,no,,UN-certified packaging required; lithium battery pack in compliance with UN 38.3; temperature controlled if applicable
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,5000,25000,no,,no,,Hazardous goods not involved; wooden crate must be fumigated per ISPM15
United States,US,Canada,CA,rail,pallet,pharmaceutical (prescription),300490,2000,20000,yes,Import license required; strict pharma traceability,no,,Cold chain compliant; tamper-evident seals; Good Distribution Practice
Brazil,BR,Spain,ES,air,box,live animal,10619,20,300,yes,Phytosanitary and veterinary certificates; permits for live animals,yes,Biosecurity risk; species restrictions in transit countries,Specialized animal carrier crate; temperature and ventilation controls
Australia,AU,Japan,JP,courier,envelope,pharmaceutical (prescription),300490,2,150,yes,Pharmacy license verification; controlled substance checks where applicable,no,,Tamper-evident seal; secure documentation; regulated substance handling
India,IN,United Kingdom,GB,sea,box,fresh fruit/vegetables,80810,100,15000,no,,no,,Refrigerated container where applicable; vented packaging
China,CN,Mexico,MX,air,envelope,cosmetics,330499,2,200,no,,no,,Avoid liquids; comply with cosmetic labeling requirements
Germany,DE,France,FR,rail,box,electronics (consumer),851712,1500,18000,no,,no,,Secure packaging; anti-static precautions; CE marking if applicable
Singapore,SG, Indonesia,ID,multimodal,crate,toys (small),950300,1000,22000,no,,no,,Tear-resistant packaging; age labeling on packaging
Japan,JP,South Korea,KR,road,box,chemical (industrial solvent),382200,700,12000,yes,Hazardous materials class; proper hazmat packaging; MSDS; permit,no,,Hazmat labeling; UN-approved packaging; segregated within vehicle
United Kingdom,GB,Netherlands,NL,sea,pallet,live animal,10619,300,26000,yes,Quarantine and veterinary checks; permit for animal transport,yes,Wildlife protection laws; species restrictions,Temperature control; specialized animal transport containers
Canada,CA,United States,US,air,envelope,pharmaceutical (prescription),300490,2,300,yes,Controlled substances checks; cross-border pharma compliance,no,,Certified temperature control; traceability documentation
South Korea,KR,China,CN,rail,crate,chemical (industrial solvent),382200,4000,21000,yes,Hazmat documentation; MSDS; environmental permits,no,,UN-approved packaging; leak-proof containers; ventilation
France,FR,Italy,IT,courier,envelope,cosmetics,330499,1,120,no,,no,,Tamper-evident seal; compliant with cosmetic ingredient regulations
Spain,ES,United Kingdom,GB,air,box,alcoholic beverages,220830,20,300,yes,Excise and labeling requirements; age verification; import licenses,no,,"Sealed, tamper-evident; temperature stable environment"
Netherlands,NL,Canada,CA,sea,crate,fresh fruit/vegetables,80810,800,26000,no,,no,,Refrigerated seafood not involved; maintain cold chain
India,IN,Saudi Arabia,SA,air,box,pharmaceutical (prescription),300490,3,200,yes,Import license; veterinary/pharma regulatory approval where applicable,no,,Tamper-evident seals; cold chain where required
United States,US,Spain,ES,multimodal,crate,electronicss (consumer),851712,1200,23000,no,,no,,Anti-static packaging; cybersecurity compliant labeling for electronics
Italy,IT,United Arab Emirates,AE,rail,box,toys (small),950300,600,18000,no,,no,,Secure packaging; age labeling; toy safety compliance
Mexico,MX,Singapore,SG,courier,envelope,cosmetics,330499,1,100,no,,no,,Chemical-free cosmetics; comply with labeling standards
South Africa,ZA,Netherlands,NL,road,box,live animal,10619,50,8000,yes,Quarantine and veterinary checks; permits for live animal transport,yes,Wildlife protection laws; age restrictions,Temperature control; humane transport containers
United Kingdom,GB,Canada,CA,rail,box,fresh fruit/vegetables,80810,120,15000,no,,no,,Refrigerated pallet; proper ventilation
United Arab Emirates,AE,India,IN,sea,crate,chemical (industrial solvent),382200,4500,28000,yes,Hazmat; permits; environmental and safety certifications,no,,UN-certified packaging; leak-proof seals; secondary containment
India,IN,United States,US,air,box,lithium-ion battery,850760,2,120,yes,IATA DG declaration and battery safety documentation required; UN3480/UN3481 compliance,no,,UN-certified packaging required; lithium battery must be shipped in accordance with IATA DG Shipping Regulations; temperature controlled if applicable
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,25000,no,,no,,Sealed pallets; mark handling group; Verify RoHS compliance
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,1.5,150,yes,Pharmacovigilance and controlled substance export approval; require DEA-like permits in destination,no,,Tamper-evident seals; ensure cold-chain if required by product; pharmacist verification
United States,US,Canada,CA,courier,box,cosmetics,330499,23,200,no,,no,,Tamper-evident seals; compliant with Health Canada cosmetics rules; proper labeling
Germany,DE,France,FR,road,crate,chemical (industrial solvent),382200,500,15000,yes,Dangerous goods under IMDG; need ADR-compliant packaging; MSDS and consignee authorization,no,,UN-approved packaging; proper hazmat labeling; air-tight container; temperature control if solvent volatile
Japan,JP,Australia,AU,sea,box,live animal,10619,20,5000,yes,Quarantine and veterinary certificates; live animal import permit; animal welfare checks,no,,Secure containment; temperature and humidity control; documentation for quarantine authorities
United Kingdom,GB,Spain,ES,rail,box,fresh fruit/vegetables,80810,25,18000,no,,no,,Ventilated packaging; temperature-controlled climate where needed; compliant with plant health rules
Canada,CA,Mexico,MX,multimodal,case,pharmaceutical (prescription),300490,32,22000,yes,Pharmaceutical export licenses; rigorous cold-chain and IATA/ICAO documentation,no,,Double-boxing; Trek-specific cold chain; packaging validation
Australia,AU,Singapore,SG,air,box,toys (small),950300,2,180,no,,no,,Certified child-safe materials; proper labeling; packaging tamper-evident
South Korea,KR,Canada,CA,courier,envelope,cosmetics,330499,1,60,no,,no,,Sealed packaging; comply with Health Canada cosmetic rules; no prohibited fragrance disclosures
Italy,IT,South Africa,ZA,sea,crate,chemical (industrial solvent),382200,400,20000,yes,IMDG-dangerous goods; need hazmat paperwork and emergency response data; limited per voyage,no,,UN-certified packaging; internal liners; proper hazmat labels and safety data sheets
Spain,ES,United Kingdom,GB,rail,box,lithium-ion battery,850760,5,18000,yes,IATA/ICAO battery shipping rules; DG declaration; segregated from perishables,no,,UN-approved packaging; mark as battery; temperature control if needed
Netherlands,NL,Japan,JP,air,box,electronic (consumer),851712,23,150,no,,no,,FCC/CE compliance; proper labels; handling instructions
South Africa,ZA,United States,US,courier,envelope,pharmaceutical (prescription),300490,1,70,yes,Import controls; need prescription validation and customs clearance; may require clinical supply permits,no,,Temperature control if required; chain of custody for medical products
Mexico,MX,Australia,AU,sea,pallet,fresh fruit/vegetables,80810,1000,28000,no,,no,,Ventilated pallets; temperature monitoring; pesticide residue documentation
France,FR,India,IN,multimodal,case,cosmetics,330499,25,15000,no,,no,,CFR labeling; packaging per cosmetic regulations; test certificates
Netherlands,NL,Saudi Arabia,SA,air,box,alcoholic beverages,220830,2,120,yes,Alcohol import licenses; import duties; limits on ethanol content and age restrictions at destination,no,,Tamper-evident seals; temperature controlled if needed; ensure age verification labeling
United States,US,United Kingdom,GB,rail,crate,live animal,10619,15,18000,yes,Quarantine and veterinary import permits; need veterinary health certificates,no,,Secure transport; appropriate ventilation; compliant with animal welfare standards
China,CN,Singapore,SG,courier,envelope,used clothing,630900,1.5,80,no,,no,Counterfeit risk rules may apply in some markets,Sea freight-safe packing; avoid mold; proper labeling; avoid prohibited materials
Italy,IT,Canada,CA,sea,pallet,toys (small),950300,1000,26000,no,,no,,Toy safety compliance labeling; secure packaging; edge protection on pallets
United Arab Emirates,AE,France,FR,air,box,electronic (consumer),851712,23,200,yes,Security screening; nuclear or sensitive tech controls may apply; export licenses,no,,Tamper-evident seals; encryption devices labeling if applicable; comply with export controls
Japan,JP,Spain,ES,road,crate,pharmaceutical (prescription),300490,40,15000,yes,Import license and good distribution practice (GDP) certification; cold-chain and validation,no,,Controlled temperature packaging; tracking and chain of custody documentation
South Korea,KR,United States,US,multimodal,case,chemical (industrial solvent),382200,1000,28000,yes,Hazmat rules; IMDG ADR; emergency response and SDS; restricted import permits,no,,UN-certified packaging; proper hazmat labeling; containment liner
India,IN,United States,US,air,box,lithium-ion battery,850760,2,200,yes,IATA DG declaration required; limited per shipment; lithium content must meet UN 38.3/ICAO/IATA packaging standards,no,,UN-certified packaging; Li-ion batteries packed to prevent short circuits; temperature controlled if batteries are installed
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,25000,no,,no,,Tamper-evident seals; traceable container numbers; hazmat procedures if mixed with batteries
Germany,DE,Japan,JP,air,box,pharmaceutical (prescription),300490,23,180,yes,Pharmaceuticals require import license and prescription verification; IATA DG compliance for packaging,no,,Temp-controlled 2-8C; secure chain of custody; proper labeling
Brazil,BR,United Kingdom,GB,courier,envelope,cosmetics,330499,2,25,no,,no,,Sealed with tamper-evident seal; cosmetics compliant with EU/UK labeling
 United States,US,Canada,CA,road,box,fresh fruit/vegetables,80810,23,1500,no,,no,,Refrigerated transport if required; protective packaging to prevent bruising
Japan,JP,South Korea,KR,rail,crate,live animal,10619,500,12000,yes,Veterinary certificate; import permit; animal welfare compliance,yes,Live animals often banned on certain international routes; requires special corridor rights,Transport in climate-controlled container; secure ventilation and monitoring
Australia,AU,Singapore,SG,multimodal,box,pharmaceutical (prescription),300490,32,2300,yes,"Pharmaceuticals require permits, GMP certificates; cross-border medicines import approvals",no,,Temperature controlled; secure packaging; documentation for cross-border pharmaceutical trade
Canada,CA,Mexico,MX,road,case,electronicss (consumer),851712,50,18000,no,,no,,Sealed case; ESD protection where needed; labeling in bilingual formats
Italy,IT,France,FR,rail,box,chemical (industrial solvent),382200,100,20000,yes,Hazmat classification; permits; IATA/IMDG compliance; ventilation requirements,no,,Hazardous packaging; leakproof; secondary containment; emergency response information
Singapore,SG,Indonesia,ID,sea,pallet,chemical (industrial solvent),382200,1000,26000,yes,IMDG compliance; vessel approval; cross-border chemical handling rules,no,,Proper hazard labeling; segregation by hazard class; spill kit and absorbents on board
South Africa,ZA,United States,US,air,box,toys (small),950300,23,600,no,,no,,Choking hazard labeling; secure packaging; age-appropriate warnings
Netherlands,NL,Spain,ES,sea,crate,live animal,10619,1000,18000,yes,Animal health certificate; veterinary import authorization; quarantine considerations,yes,Wildlife trade restrictions; often banned depending on species,Ventilated crates; humane handling; temperature control if required
France,FR,United Kingdom,GB,courier,envelope,cosmetics,330499,2,30,no,,no,,Containment of fragrance; regulatory labeling per UK/EU cosmetics rules
Spain,ES,Italy,IT,air,box,pharmaceutical (prescription),300490,23,200,yes,Pharmacovigilance and import licenses; temperature-controlled handling,no,,Cold chain integrity; validated packaging; tamper-evident seals
Saudi Arabia,SA,United Arab Emirates,AE,road,box,alcoholic beverages,220830,30,8000,yes,Import license; local distribution approvals; age restrictions at destination,no,,Glass bottles with impact-resistant cushioning; sealed pallets; temperature control not essential
Mexico,MX,Canada,CA,multimodal,crate,used clothing,630900,300,17000,no,,no,,Original packaging; weatherproof wrapping; labeling for quick inspection
South Korea,KR,United States,US,sea,pallet,fresh fruit/vegetables,80810,1000,28000,no,,no,,Refrigerated containers; temperature logs; protection against crushing
India,IN,United Kingdom,GB,air,box,toys (small),950300,23,400,no,,no,,Choking hazard warnings; secure internal compartments; impact-resistant packaging
Canada,CA,Netherlands,NL,rail,crate,electronics (consumer),851712,5000,22000,no,,no,,ESD-safe packaging; internal cushioning; proper labeling and tracking
France,FR,Brazil,BR,multimodal,box,cosmetics,330499,40,1500,no,,no,,Regulatory compliant labeling; batch numbers; tamper-evident seals
United Kingdom,GB,Spain,ES,road,bag,pharmaceutical (prescription),300490,20,1200,yes,Import/export licenses; controlled substance certifications; cross-border pharmaceutical regulation,no,,Temperature controlled; secure tamper-evident packaging; documentation for movement of medicines
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; lithium batteries restricted to certain cells and pack configurations; dangerous goods handling,no,,UN3481/UN3480 compliant packaging; tamper-evident seal; DP/HAZMAT labeling
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,5000,25000,no,,no,,ISO 668 compliant crate; moisture barrier; anti-static lining
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,2,120,yes,Pharmacy/import licenses; cold chain validation; GDP compliance,no,,Cold chain verified packaging; insulated container; temperature data logger
Germany,DE,Canada,CA,multimodal,box,live animal,10619,25,1200,yes,Veterinary certificate; import permit; quarantine requirements,yes,Wildlife protection; live animal transport restrictions,Secure crate; breathable enclosure; pest-free certification
United Kingdom,GB,Australia,AU,air,envelope,fresh fruit/vegetables,80810,2,200,no,,no,,Ventilated liner; cold chain packaging; tamper-evident seals
United States,US,Mexico,MX,road,box,cosmetics,330499,23,15000,yes,Hazmat compliance for liquids; labeling; state-level restrictions,no,,Package shielding; leak-proof primary packaging; secondary containment
Japan,JP,South Korea,KR,rail,crate,electronic,851712,1200,18000,no,,no,,Shock-absorbent lining; anti-static interior; moisture control
India,IN,United Kingdom,GB,courier,envelope,pharmaceutical (prescription),300490,2,50,yes,IATA DG and pharmacovigilance docs; controlled substance controls,no,,Tamper-evident seal; temperature monitoring for cold chain; requires prescription and docs
Canada,CA,France,FR,sea,case,chemical (industrial solvent),382200,5000,22000,yes,Hazardous materials shipper declaration; SDS; proper segregation,no,,UN standard case; leak-proof lining; flammable packing materials avoided near heat
